province,region,Jul-20,Jul-21,Jul-22,Jul-23,Jul-24
IlocosNorte,Region I (Ilocos Region),1823,1827,1830,1833,1834
IlocosNorte,Region I (Ilocos Region),32778,32850,32908,32951,32979
IlocosNorte,Region I (Ilocos Region),32218,32299,32365,32418,32456
IlocosNorte,Region I (Ilocos Region),14954,14993,15024,15049,15067
IlocosNorte,Region I (Ilocos Region),56248,56389,56504,56595,56661
IlocosNorte,Region I (Ilocos Region),9948,9970,9987,10000,10009
IlocosNorte,Region I (Ilocos Region),1644,1658,1672,1684,1696
IlocosNorte,Region I (Ilocos Region),12419,12451,12477,12498,12513
IlocosNorte,Region I (Ilocos Region),39673,39850,40009,40152,40277
IlocosNorte,Region I (Ilocos Region),3267,3332,3397,3461,3525
IlocosNorte,Region I (Ilocos Region),19814,19865,19907,19941,19965
IlocosNorte,Region I (Ilocos Region),116143,117032,117876,118675,119430
IlocosNorte,Region I (Ilocos Region),18373,18471,18562,18646,18721
IlocosNorte,Region I (Ilocos Region),11279,11662,12053,12452,12859
IlocosNorte,Region I (Ilocos Region),25441,25759,26070,26374,26671
IlocosNorte,Region I (Ilocos Region),25499,25595,25681,25755,25818
IlocosNorte,Region I (Ilocos Region),29685,29791,29884,29963,30031
IlocosNorte,Region I (Ilocos Region),22149,22254,22349,22435,22512
IlocosNorte,Region I (Ilocos Region),17676,17729,17775,17814,17844
IlocosNorte,Region I (Ilocos Region),38859,39252,39632,39998,40351
IlocosNorte,Region I (Ilocos Region),25669,25729,25777,25814,25840
IlocosNorte,Region I (Ilocos Region),24985,25131,25266,25391,25505
IlocosNorte,Region I (Ilocos Region),32877,32969,33046,33108,33156
IlocosSur,Region I (Ilocos Region),6825,6843,6856,6867,6875
IlocosSur,Region I (Ilocos Region),7899,7919,7935,7947,7956
IlocosSur,Region I (Ilocos Region),36669,36810,36935,37043,37134
IlocosSur,Region I (Ilocos Region),12609,12670,12726,12776,12821
IlocosSur,Region I (Ilocos Region),38806,39021,39218,39399,39562
IlocosSur,Region I (Ilocos Region),62567,62880,63164,63421,63651
IlocosSur,Region I (Ilocos Region),20924,21117,21301,21477,21646
IlocosSur,Region I (Ilocos Region),17623,17683,17734,17778,17813
IlocosSur,Region I (Ilocos Region),11353,11464,11570,11672,11770
IlocosSur,Region I (Ilocos Region),5516,5648,5781,5914,6048
IlocosSur,Region I (Ilocos Region),4836,4868,4898,4927,4953
IlocosSur,Region I (Ilocos Region),32933,33338,33731,34115,34488
IlocosSur,Region I (Ilocos Region),5513,5559,5601,5642,5681
IlocosSur,Region I (Ilocos Region),44916,45040,45142,45224,45285
IlocosSur,Region I (Ilocos Region),8736,8757,8774,8787,8796
IlocosSur,Region I (Ilocos Region),11531,11565,11594,11617,11634
IlocosSur,Region I (Ilocos Region),7531,7546,7557,7565,7570
IlocosSur,Region I (Ilocos Region),8579,8614,8645,8673,8696
IlocosSur,Region I (Ilocos Region),8419,8541,8661,8779,8895
IlocosSur,Region I (Ilocos Region),27277,27417,27545,27661,27765
IlocosSur,Region I (Ilocos Region),13652,13821,13986,14146,14303
IlocosSur,Region I (Ilocos Region),15657,15700,15736,15765,15786
IlocosSur,Region I (Ilocos Region),14229,14267,14298,14323,14341
IlocosSur,Region I (Ilocos Region),41305,41543,41764,41967,42151
IlocosSur,Region I (Ilocos Region),25927,25999,26058,26105,26140
IlocosSur,Region I (Ilocos Region),31656,31888,32108,32314,32507
IlocosSur,Region I (Ilocos Region),19313,19401,19479,19548,19609
IlocosSur,Region I (Ilocos Region),28553,28632,28697,28749,28788
IlocosSur,Region I (Ilocos Region),3037,3097,3157,3217,3276
IlocosSur,Region I (Ilocos Region),26170,26242,26302,26350,26385
IlocosSur,Region I (Ilocos Region),5376,5545,5716,5890,6068
IlocosSur,Region I (Ilocos Region),12132,12259,12381,12499,12613
IlocosSur,Region I (Ilocos Region),40359,40525,40672,40801,40912
IlocosSur,Region I (Ilocos Region),57382,58036,58671,59287,59884
LaUnion,Region I (Ilocos Region),66406,66841,67238,67595,67914
LaUnion,Region I (Ilocos Region),49688,50057,50396,50707,50991
LaUnion,Region I (Ilocos Region),43591,43820,44023,44200,44351
LaUnion,Region I (Ilocos Region),14250,14389,14520,14644,14760
LaUnion,Region I (Ilocos Region),40225,40361,40473,40559,40621
LaUnion,Region I (Ilocos Region),37151,37328,37483,37615,37725
LaUnion,Region I (Ilocos Region),78902,79556,80167,80733,81256
LaUnion,Region I (Ilocos Region),8272,8298,8320,8336,8347
LaUnion,Region I (Ilocos Region),22698,22790,22869,22933,22984
LaUnion,Region I (Ilocos Region),36648,36752,36833,36891,36926
LaUnion,Region I (Ilocos Region),60000,61125,62233,63324,64402
LaUnion,Region I (Ilocos Region),23096,23809,24530,25257,25994
LaUnion,Region I (Ilocos Region),57906,58304,58667,58996,59293
LaUnion,Region I (Ilocos Region),127962,128997,129960,130849,131670
LaUnion,Region I (Ilocos Region),19650,19925,20192,20450,20701
LaUnion,Region I (Ilocos Region),39064,39380,39674,39945,40196
LaUnion,Region I (Ilocos Region),42021,42558,43076,43573,44053
LaUnion,Region I (Ilocos Region),12868,12924,12973,13013,13046
LaUnion,Region I (Ilocos Region),17490,17545,17590,17624,17647
LaUnion,Region I (Ilocos Region),30306,30577,30831,31068,31290
Pangasinan,Region I (Ilocos Region),28650,28723,28779,28819,28842
Pangasinan,Region I (Ilocos Region),43052,43305,43535,43741,43924
Pangasinan,Region I (Ilocos Region),93657,94312,94918,95473,95980
Pangasinan,Region I (Ilocos Region),45374,45704,46010,46292,46550
Pangasinan,Region I (Ilocos Region),41692,42076,42439,42781,43104
Pangasinan,Region I (Ilocos Region),58567,58714,58827,58906,58951
Pangasinan,Region I (Ilocos Region),35661,36598,37539,38483,39434
Pangasinan,Region I (Ilocos Region),54583,55395,56187,56960,57715
Pangasinan,Region I (Ilocos Region),35314,35748,36167,36571,36960
Pangasinan,Region I (Ilocos Region),34176,34507,34821,35119,35400
Pangasinan,Region I (Ilocos Region),123940,124916,125827,126674,127459
Pangasinan,Region I (Ilocos Region),55820,55982,56113,56211,56277
Pangasinan,Region I (Ilocos Region),86723,87333,87896,88414,88887
Pangasinan,Region I (Ilocos Region),89195,90549,91871,93162,94426
Pangasinan,Region I (Ilocos Region),69881,70283,70646,70971,71258
Pangasinan,Region I (Ilocos Region),25112,25837,26567,27303,28048
Pangasinan,Region I (Ilocos Region),98400,98899,99342,99731,100065
Pangasinan,Region I (Ilocos Region),177433,178396,179261,180027,180698
Pangasinan,Region I (Ilocos Region),31023,31370,31703,32022,32328
Pangasinan,Region I (Ilocos Region),25508,25654,25787,25905,26010
Pangasinan,Region I (Ilocos Region),25123,25486,25840,26185,26521
Pangasinan,Region I (Ilocos Region),106951,107523,108036,108489,108884
Pangasinan,Region I (Ilocos Region),25311,25379,25433,25472,25496
Pangasinan,Region I (Ilocos Region),135915,136847,137706,138493,139208
Pangasinan,Region I (Ilocos Region),73913,74710,75472,76200,76896
Pangasinan,Region I (Ilocos Region),112981,114177,115320,116409,117449
Pangasinan,Region I (Ilocos Region),75900,76317,76692,77026,77317
Pangasinan,Region I (Ilocos Region),39411,39835,40241,40628,40998
Pangasinan,Region I (Ilocos Region),25700,25948,26184,26407,26618
Pangasinan,Region I (Ilocos Region),72424,72892,73321,73710,74062
Pangasinan,Region I (Ilocos Region),65962,66445,66893,67306,67686
Pangasinan,Region I (Ilocos Region),200684,202874,204970,206974,208891
Pangasinan,Region I (Ilocos Region),87504,88286,89023,89716,90367
Pangasinan,Region I (Ilocos Region),43681,44200,44700,45181,45644
Pangasinan,Region I (Ilocos Region),58905,60087,61258,62419,63573
Pangasinan,Region I (Ilocos Region),36741,36918,37074,37209,37324
Pangasinan,Region I (Ilocos Region),33656,33743,33811,33859,33888
Pangasinan,Region I (Ilocos Region),86766,87607,88407,89164,89881
Pangasinan,Region I (Ilocos Region),34723,35013,35286,35540,35778
Pangasinan,Region I (Ilocos Region),15512,15586,15651,15707,15755
Pangasinan,Region I (Ilocos Region),50727,51312,51875,52415,52934
Pangasinan,Region I (Ilocos Region),36881,37394,37893,38378,38850
Pangasinan,Region I (Ilocos Region),45974,46486,46977,47448,47898
Pangasinan,Region I (Ilocos Region),78483,79447,80377,81274,82139
Pangasinan,Region I (Ilocos Region),52091,52398,52675,52925,53146
Pangasinan,Region I (Ilocos Region),139360,140452,141471,142417,143293
Pangasinan,Region I (Ilocos Region),65044,65492,65906,66285,66630
Pangasinan,Region I (Ilocos Region),33298,33616,33918,34203,34473
Batanes,Region II (Cagayan Valley),9205,9340,9473,9610,9749
Batanes,Region II (Cagayan Valley),2771,2753,2733,2714,2696
Batanes,Region II (Cagayan Valley),1396,1411,1425,1440,1455
Batanes,Region II (Cagayan Valley),1546,1544,1542,1540,1538
Batanes,Region II (Cagayan Valley),1611,1610,1607,1606,1604
Batanes,Region II (Cagayan Valley),1345,1355,1365,1375,1385
Cagayan,Region II (Cagayan Valley),34355,34670,34965,35239,35492
Cagayan,Region II (Cagayan Valley),40142,40317,40465,40587,40681
Cagayan,Region II (Cagayan Valley),35515,35846,36155,36444,36712
Cagayan,Region II (Cagayan Valley),50591,51054,51487,51889,52262
Cagayan,Region II (Cagayan Valley),70121,70912,71664,72377,73052
Cagayan,Region II (Cagayan Valley),87470,88264,89005,89694,90331
Cagayan,Region II (Cagayan Valley),36409,36774,37117,37439,37741
Cagayan,Region II (Cagayan Valley),31926,32224,32503,32764,33005
Cagayan,Region II (Cagayan Valley),17265,17345,17413,17470,17515
Cagayan,Region II (Cagayan Valley),26461,26727,26977,27212,27432
Cagayan,Region II (Cagayan Valley),30765,30874,30962,31030,31077
Cagayan,Region II (Cagayan Valley),39101,39713,40308,40885,41447
Cagayan,Region II (Cagayan Valley),58668,58959,59210,59423,59598
Cagayan,Region II (Cagayan Valley),41497,41956,42391,42804,43194
Cagayan,Region II (Cagayan Valley),30158,30580,30988,31380,31759
Cagayan,Region II (Cagayan Valley),47634,48191,48722,49226,49706
Cagayan,Region II (Cagayan Valley),41323,41692,42036,42356,42650
Cagayan,Region II (Cagayan Valley),24262,24348,24417,24470,24507
Cagayan,Region II (Cagayan Valley),50090,50294,50465,50603,50707
Cagayan,Region II (Cagayan Valley),24328,24428,24511,24577,24628
Cagayan,Region II (Cagayan Valley),18502,18567,18620,18661,18689
Cagayan,Region II (Cagayan Valley),25859,26079,26283,26472,26645
Cagayan,Region II (Cagayan Valley),35355,35796,36219,36623,37009
Cagayan,Region II (Cagayan Valley),4688,4794,4899,5004,5108
Cagayan,Region II (Cagayan Valley),20476,20735,20985,21223,21451
Cagayan,Region II (Cagayan Valley),28381,28562,28724,28868,28994
Cagayan,Region II (Cagayan Valley),88420,89479,90489,91452,92369
Cagayan,Region II (Cagayan Valley),65485,66175,66827,67441,68020
Cagayan,Region II (Cagayan Valley),168075,170826,173506,176116,178662
Isabela,Region II (Cagayan Valley),77727,78892,80022,81119,82184
Isabela,Region II (Cagayan Valley),45511,45931,46325,46693,47035
Isabela,Region II (Cagayan Valley),36589,36842,37072,37279,37465
Isabela,Region II (Cagayan Valley),31609,31962,32299,32618,32921
Isabela,Region II (Cagayan Valley),24773,24928,25067,25192,25300
Isabela,Region II (Cagayan Valley),54159,54893,55600,56282,56939
Isabela,Region II (Cagayan Valley),41073,41335,41570,41781,41966
Isabela,Region II (Cagayan Valley),135226,136139,136967,137711,138374
Isabela,Region II (Cagayan Valley),44474,44705,44907,45081,45227
Isabela,Region II (Cagayan Valley),5134,5150,5163,5173,5179
Isabela,Region II (Cagayan Valley),6309,6430,6549,6667,6782
Isabela,Region II (Cagayan Valley),82602,83165,83676,84136,84546
Isabela,Region II (Cagayan Valley),30800,30923,31026,31108,31171
Isabela,Region II (Cagayan Valley),154414,155956,157410,158777,160060
Isabela,Region II (Cagayan Valley),46954,47125,47266,47375,47455
Isabela,Region II (Cagayan Valley),20347,20519,20678,20826,20962
Isabela,Region II (Cagayan Valley),4901,5034,5167,5300,5434
