province,region,Jul-20,Jul-21,Jul-22,Jul-23,Jul-24,Jul-25
Abra,Cordillera Administrative Region (CAR),247402,248467,249465,250398,251268,252069
AgusanDelNorte,Region XIII (Caraga),738775,747050,754886,762273,769239,775738
AgusanDelSur,Region XIII (Caraga),734982,741034,746773,752188,757297,762075
Aklan,Region VI (Western Visayas),605584,610948,616000,620742,625196,629323
Albay,Region V (Bicol Region),1396088,1410278,1423704,1436361,1448266,1459374
Antique,Region VI (Western Visayas),612454,617789,622827,627580,632053,636224
Apayao,Cordillera Administrative Region (CAR),123899,124728,125512,126250,126950,127598
Aurora,Region III (Central Luzon),227530,229840,232023,234083,236026,237837
Basilan,Autonomous Region in Muslim Mindanao (ARMM),386697,395488,404492,413711,423165,432807
Bataan,Region III (Central Luzon),836076,849474,862232,874348,885855,896683
Batanes,Region II (Cagayan Valley),17874,18013,18145,18285,18427,18571
Batangas,Region IV-A (CALABARZON),3033730,3107922,3183932,3261749,3341600,3423043
Benguet,Cordillera Administrative Region (CAR),848552,858483,867854,876661,884924,892601
Biliran,Region VIII (Eastern Visayas),179362,180718,182002,183202,184333,185390
Bohol,Region VII (Central Visayas),1365107,1374099,1382603,1390620,1398174,1405220
Bukidnon,Region X (Northern Mindanao),1510189,1526826,1542545,1557341,1571271,1584244
Bulacan,Region III (Central Luzon),3646679,3708783,3767535,3822934,3875130,3923825
Cagayan,Region II (Cagayan Valley),1273322,1286181,1298313,1309729,1320443,1330398
CamarinesNorte,Region V (Bicol Region),622514,629401,635922,642085,647890,653324
CamarinesSur,Region V (Bicol Region),2059495,2078252,2095985,2112702,2128444,2143109
Camiguin,Region X (Northern Mindanao),92431,93118,93770,94373,94947,95476
Capiz,Region VI (Western Visayas),803083,811947,820939,830057,839339,848721
Catanduanes,Region V (Bicol Region),272941,275043,277032,278904,280672,282316
Cavite,Region IV-A (CALABARZON),4210866,4305595,4395803,4481490,4562863,4639488
Cebu,Region VII (Central Visayas),5085207,5164248,5238915,5309214,5375311,5436834
CityOfIsabela(NotAProvince),Region IX (Zamboanga Peninsula),127728,130380,132907,135305,137579,139720
CompostelaValley,Region XI (Davao Region),774102,780741,787004,792893,798431,803576
Cotabato(NorthCotabato),Region XII (SOCCSKSARGEN),1527149,1553082,1577660,1600877,1622813,1643329
CotabatoCity(NotAProvince),Region XII (SOCCSKSARGEN),309498,311264,312921,314470,315905,317226
DavaoDelNorte,Region XI (Davao Region),1056457,1063434,1069991,1076117,1081834,1087103
DavaoDelSur,Region XI (Davao Region),2520852,2576356,2633054,2690969,2750249,2810574
DavaoOccidental,Region XI (Davao Region),338925,342873,346602,350121,353430,356518
DavaoOriental,Region XI (Davao Region),600531,607848,614795,621365,627581,633409
DinagatIslands,Region XIII (Caraga),130671,131274,131842,132377,132872,133338
EasternSamar,Region VIII (Eastern Visayas),503495,511289,519218,527283,535505,543838
Guimaras,Region VI (Western Visayas),185174,187011,188747,190376,191900,193322
Ifugao,Cordillera Administrative Region (CAR),210669,212062,213378,214623,215792,216889
IlocosNorte,Region I (Ilocos Region),613421,616858,620051,623007,625720,628200
IlocosSur,Region I (Ilocos Region),715810,720255,724393,728245,731802,735055
Iloilo,Region VI (Western Visayas),2524211,2548470,2571325,2592779,2612890,2631534
Isabela,Region II (Cagayan Valley),1685739,1701762,1716855,1731033,1744324,1756661
Kalinga,Cordillera Administrative Region (CAR),220230,221564,222826,224013,225140,226188
LaUnion,Region I (Ilocos Region),828194,835336,842048,848312,854167,859560
Laguna,Region IV-A (CALABARZON),3343703,3397582,3448505,3496455,3541573,3583595
LanaoDelNorte,Region X (Northern Mindanao),1095270,1108699,1121425,1133449,1144794,1155403
LanaoDelSur,Autonomous Region in Muslim Mindanao (ARMM),1146287,1168123,1190440,1213248,1236601,1260369
Leyte,Region VIII (Eastern Visayas),2124269,2157985,2192247,2227049,2262489,2298372
Maguindanao,Autonomous Region in Muslim Mindanao (ARMM),1323051,1355938,1389642,1424161,1459585,1495725
Marinduque,Region IV-B (MIMAROPA),241036,242420,243826,245251,246699,248170
Masbate,Region V (Bicol Region),937079,944945,952389,959411,966031,972215
MisamisOccidental,Region X (Northern Mindanao),627158,631503,635588,639418,643001,646311
MisamisOriental,Region X (Northern Mindanao),1692002,1714414,1735638,1755658,1774537,1792167
MountainProvince,Cordillera Administrative Region (CAR),156987,157412,157820,158208,158583,158936
"Ncr,FirstDistrict(NotAProvince)",National Capital Region (NCR),1886920,1904097,1919752,1933886,1946482,1957470
"Ncr,FourthDistrict(NotAProvince)",National Capital Region (NCR),4015981,4089973,4162177,4232582,4301253,4367722
"Ncr,SecondDistrict(NotAProvince)",National Capital Region (NCR),4960933,5013466,5062446,5107859,5149679,5187658
"Ncr,ThirdDistrict(NotAProvince)",National Capital Region (NCR),2940822,2958687,2974301,2987677,2999166,3008807
NegrosOccidental,Region VI (Western Visayas),3174389,3194386,3213201,3230827,3247321,3262576
