province,region,Jul-20,Jul-21,Jul-22,Jul-23,Jul-24
IlocosNorte,Region I – Ilocos Region,1827,1830,1833,1834,1835
IlocosNorte,Region I – Ilocos Region,32850,32908,32951,32979,32994
IlocosNorte,Region I – Ilocos Region,32299,32365,32418,32456,32480
IlocosNorte,Region I – Ilocos Region,14993,15024,15049,15067,15079
IlocosNorte,Region I – Ilocos Region,56389,56504,56595,56661,56702
IlocosNorte,Region I – Ilocos Region,9970,9987,10000,10009,10013
IlocosNorte,Region I – Ilocos Region,1658,1672,1684,1696,1708
IlocosNorte,Region I – Ilocos Region,12451,12477,12498,12513,12523
IlocosNorte,Region I – Ilocos Region,39850,40009,40152,40277,40386
IlocosNorte,Region I – Ilocos Region,3332,3397,3461,3525,3589
IlocosNorte,Region I – Ilocos Region,19865,19907,19941,19965,19981
IlocosNorte,Region I – Ilocos Region,117032,117876,118675,119430,120140
IlocosNorte,Region I – Ilocos Region,18471,18562,18646,18721,18789
IlocosNorte,Region I – Ilocos Region,11662,12053,12452,12859,13273
IlocosNorte,Region I – Ilocos Region,25759,26070,26374,26671,26960
IlocosNorte,Region I – Ilocos Region,25595,25681,25755,25818,25871
IlocosNorte,Region I – Ilocos Region,29791,29884,29963,30031,30085
IlocosNorte,Region I – Ilocos Region,22254,22349,22435,22512,22580
IlocosNorte,Region I – Ilocos Region,17729,17775,17814,17844,17867
IlocosNorte,Region I – Ilocos Region,39252,39632,39998,40351,40691
IlocosNorte,Region I – Ilocos Region,25729,25777,25814,25840,25854
IlocosNorte,Region I – Ilocos Region,25131,25266,25391,25505,25610
IlocosNorte,Region I – Ilocos Region,32969,33046,33108,33156,33190
IlocosSur,Region I – Ilocos Region,6843,6856,6867,6875,6879
IlocosSur,Region I – Ilocos Region,7919,7935,7947,7956,7961
IlocosSur,Region I – Ilocos Region,36810,36935,37043,37134,37208
IlocosSur,Region I – Ilocos Region,12670,12726,12776,12821,12860
IlocosSur,Region I – Ilocos Region,39021,39218,39399,39562,39709
IlocosSur,Region I – Ilocos Region,62880,63164,63421,63651,63852
IlocosSur,Region I – Ilocos Region,21117,21301,21477,21646,21806
IlocosSur,Region I – Ilocos Region,17683,17734,17778,17813,17840
IlocosSur,Region I – Ilocos Region,11464,11570,11672,11770,11863
IlocosSur,Region I – Ilocos Region,5648,5781,5914,6048,6182
IlocosSur,Region I – Ilocos Region,4868,4898,4927,4953,4977
IlocosSur,Region I – Ilocos Region,33338,33731,34115,34488,34851
IlocosSur,Region I – Ilocos Region,5559,5601,5642,5681,5717
IlocosSur,Region I – Ilocos Region,45040,45142,45224,45285,45324
IlocosSur,Region I – Ilocos Region,8757,8774,8787,8796,8801
IlocosSur,Region I – Ilocos Region,11565,11594,11617,11634,11647
IlocosSur,Region I – Ilocos Region,7546,7557,7565,7570,7570
